Detail_url,Name,Rating,Genre,Date,Runtime,Director
https://www.themoviedb.org/movie/99861,Avengers: Age of Ultron,73.0,"Action, Adventure, Science Fiction",24/04/2015 (IN),2h 21m,Jack Kirby
https://www.themoviedb.org/movie/926899,The House,70.0,"Animation, Drama, Comedy, Horror, Fantasy",14/01/2022 (GB),1h 37m,Niki Lindroth von Bahr
https://www.themoviedb.org/movie/763285,Ambulance,69.0,"Action, Thriller, Crime",08/04/2022 (US),2h 16m,Chris Fedak
https://www.themoviedb.org/movie/122917,The Hobbit: The Battle of the Five Armies,73.0,"Action, Adventure, Fantasy",11/12/2014 (NZ),2h 24m,J.R.R. Tolkien
https://www.themoviedb.org/movie/808,Shrek,77.0,"Animation, Comedy, Fantasy, Adventure, Family",18/05/2001 (US),1h 30m,Vicky Jenson
https://www.themoviedb.org/movie/425,Ice Age,73.0,"Animation, Comedy, Family, Adventure",03/05/2002 (IN),1h 21m,Chris Wedge
https://www.themoviedb.org/movie/887357,Green Lantern: Beware My Power,72.0,"Animation, Action, Science Fiction",12/07/2022 (US),1h 27m,Gerry Conway
https://www.themoviedb.org/movie/1865,Pirates of the Caribbean: On Stranger Tides,65.0,"Adventure, Action, Fantasy",20/05/2011 (IN),2h 17m,Ted Elliott
https://www.themoviedb.org/movie/68726,Pacific Rim,69.0,"Action, Science Fiction, Adventure",12/07/2013 (US),2h 11m,Travis Beacham
https://www.themoviedb.org/movie/497698,Black Widow,74.0,"Action, Adventure, Science Fiction",09/07/2021 (US),2h 14m,Eric Pearson
https://www.themoviedb.org/movie/10144,The Little Mermaid,74.0,"Animation, Family, Fantasy",17/11/1989 (US),1h 23m,John Musker
https://www.themoviedb.org/movie/800510,Kimi,62.0,Thriller,10/02/2022 (DE),1h 29m,David Koepp
https://www.themoviedb.org/movie/296096,Me Before You,79.0,"Drama, Romance",03/06/2016 (IN),1h 50m,Thea Sharrock
https://www.themoviedb.org/movie/330457,Frozen II,73.0,"Family, Animation, Adventure, Comedy, Fantasy",22/11/2019 (US),1h 43m,Chris Buck
https://www.themoviedb.org/movie/606402,Yaksha: Ruthless Operations,63.0,"Action, Adventure, Crime, Thriller",08/04/2022 (KR),2h 5m,Ahn Sang-hoon
https://www.themoviedb.org/movie/379686,Space Jam: A New Legacy,70.0,"Family, Animation, Comedy, Science Fiction",16/07/2021 (US),1h 55m,Keenan Coogler
https://www.themoviedb.org/movie/424139,Halloween,65.0,"Horror, Thriller",19/10/2018 (US),1h 46m,John Carpenter
https://www.themoviedb.org/movie/38234,Undisputed III: Redemption,76.0,"Action, Thriller",22/05/2010 (US),1h 36m,David N. White
https://www.themoviedb.org/movie/799876,The Outfit,71.0,"Crime, Drama, Thriller",18/03/2022 (US),1h 45m,Johnathan McClain
https://www.themoviedb.org/movie/912598,Bubble,75.0,"Animation, Adventure, Science Fiction",28/04/2022 (IN),1h 41m,Naoko Sato
https://www.themoviedb.org/movie/809107,Z-O-M-B-I-E-S 3,78.0,"Music, Fantasy, Comedy, Science Fiction, Family, TV Movie",15/07/2022 (CA),1h 28m,Joseph Raso
https://www.themoviedb.org/movie/628964,Child of Kamiari Month,65.0,"Animation, Drama, Fantasy, Family",08/10/2021 (JP),1h 40m,Ryuta Miyake
https://www.themoviedb.org/movie/831946,Interceptor,62.0,"Action, Thriller, Adventure",26/05/2022 (AU),1h 38m,Stuart Beattie
https://www.themoviedb.org/movie/24021,The Twilight Saga: Eclipse,62.0,"Adventure, Fantasy, Drama, Romance",23/06/2010 (US),2h 4m,Stephenie Meyer
https://www.themoviedb.org/movie/121,The Lord of the Rings: The Two Towers,84.0,"Adventure, Fantasy, Action",18/12/2002 (US),2h 59m,J.R.R. Tolkien
https://www.themoviedb.org/movie/818647,Through My Window,75.0,"Drama, Romance",04/02/2022 (ES),1h 52m,Ariana Godoy
https://www.themoviedb.org/movie/10895,Pinocchio,71.0,"Animation, Family",23/02/1940 (US),1h 28m,Joe Grant
https://www.themoviedb.org/movie/522402,Finch,80.0,"Science Fiction, Drama, Adventure",04/11/2021 (US),1h 55m,Ivor Powell
https://www.themoviedb.org/movie/973608,Larva Pendant,71.0,"Comedy, Family, Animation",25/05/2022 (IN),33m,Ji-yeon Kim
https://www.themoviedb.org/movie/214756,Ted 2,63.0,"Comedy, Fantasy",26/06/2015 (US),1h 55m,Alec Sulkin
https://www.themoviedb.org/movie/765172,Rise of the Teenage Mutant Ninja Turtles: The Movie,75.0,"Animation, Action, Comedy, Family, Science Fiction",05/08/2022 (US),1h 26m,Ant Ward
https://www.themoviedb.org/movie/259693,The Conjuring 2,73.0,"Horror, Thriller",10/06/2016 (IN),2h 14m,Chad Hayes
https://www.themoviedb.org/movie/38757,Tangled,76.0,"Animation, Family",21/01/2011 (IN),1h 40m,Byron Howard
https://www.themoviedb.org/movie/254128,San Andreas,62.0,"Action, Drama, Thriller",29/05/2015 (IN),1h 54m,Carlton Cuse
https://www.themoviedb.org/movie/337401,Mulan,69.0,"Adventure, Fantasy, Drama",04/09/2020 (CZ),1h 55m,Lauren Hynek
https://www.themoviedb.org/movie/482321,Ron's Gone Wrong,80.0,"Animation, Science Fiction, Family, Comedy",22/10/2021 (US),1h 47m,Jean-Philippe Vine
https://www.themoviedb.org/movie/49013,Cars 2,60.0,"Animation, Family, Adventure, Comedy",16/06/2011 (US),1h 46m,Sajan Skaria
https://www.themoviedb.org/movie/916821,Gasoline Alley,55.0,"Action, Thriller, Crime, Mystery",25/02/2022 (US),1h 37m,Tom Sierchio
